data folder: data/ready/pos/wsj/
embeddings: glove, 6B.100d
epochs: 100
batch size: 8
initial learning rate: 0.001
l.r. decay rate: 0.05
byte lstm units: 64
word lstm units: 128
byte embedding dim: 50
byte lstm layers: 1
word lstm layers: 1
use byte embeddings: 1
use word embeddings: 0
use crf layer: 1

1.train    L 4.928     acc 92.92
47. Working_VBG|NNP Woman_NNP ,_, with_IN circulation_NN near_IN one_CD million_CD ,_, and_CC Working_NNP Mother_NNP ,_, with_IN 625,000_CD circulation_NN ,_, are_VBP legitimate_JJ magazine_NN success_NN stories_NNS ._.
48. The_DT magazine_NN Success_NNP ,_, however_RB ,_, was_VBD for_IN years_NNS lackluster_JJ and_CC unfocused_JJ ._.
49. Only_RB recently_RB has_VBZ it_PRP been_VBN attractively_RB redesigned_VBN and_CC its_PRP$ editorial_NN|JJ product_NN improved_VBN ._.
50. Success_NN|NNP is_VBZ expected_VBN to_TO gain_VB at_IN least_JJS because_IN of_IN the_DT recent_JJ folding_NN of_IN rival_JJ Venture_NNP ,_, another_DT magazine_NN for_IN growing_VBG companies_NNS ._.
51. Working_NNP Woman_NNP and_CC Working_NNP Mother_NNP have_VBP operated_VBN as_IN part_NN of_IN Working_NNP Woman/McCall_NNP 's_POS Group_NNP ,_, a_DT less-than-successful_JJ joint_JJ venture_NN between_IN Mr._NNP Lang_NNP and_CC Time_NNP|NN Warner_NNP Inc_NNP ._.
52. The_DT joint_JJ venture_NN is_VBZ being_VBG undone_VBN ,_, with_IN McCall_NNP 's_POS magazine_NN being_VBG sold_VBN last_JJ summer_NN to_TO the_DT New_NNP York_NNP Times_NNP Co._NNP 's_POS Magazine_NNP Group_NNP for_IN about_IN|RB $_$ 80_CD million_CD ,_, and_CC Time_NNP|NN Warner_NNP agreeing_VBG to_TO sell_VB back_RP its_PRP$ 50_CD %_NN interest_NN in_IN Working_NNP Woman_NNP and_CC Working_NNP Mother_NNP to_TO Mr._NNP Lang_NNP ._.
53. Executives_NNS at_IN Time_NNP Inc_NNP ._. Magazine_NNP Co._NNP ,_, a_DT subsidiary_NN of_IN Time_NNP Warner_NNP ,_, have_VBP said_VBD|VBN the_DT joint_JJ venture_NN with_IN Mr._NNP Lang_NNP was_VBD n't_RB a_DT good_JJ one_CD ._.
54. The_DT venture_NN ,_, formed_VBN in_IN 1986_CD ,_, was_VBD supposed_VBN to_TO be_VB Time_NNP 's_POS low-cost_JJ ,_, safe_JJ entry_NN into_IN women_NNS 's_POS magazines_NNS ._.
55. Mr._NNP Lang_NNP surprised_VBD Time_NNP soon_RB after_IN joining_VBG forces_NNS when_WRB he_PRP said_VBD he_PRP would_MD negotiate_VB rates_NNS individually_RB with_IN advertisers_NNS ,_, a_DT practice_NN common_JJ in_IN broadcasting_VBG|NN but_CC considered_VBN taboo_NN by_IN magazine_NN publishers_NNS ._.
56. In_IN addition_NN ,_, McCall_NNP 's_POS put_VBD in_IN|RP a_DT less_JJR|RBR than_IN stellar_JJ performance_NN ._.
57. Until_IN a_DT recent_JJ comeback_NN ,_, it_PRP saw_VBD steep_JJ losses_NNS in_IN ad_NN pages_NNS and_CC circulation_NN ._.
58. Time_NN|NNP executives_NNS complained_VBD about_IN the_DT shoddy_JJ editorial_NN|JJ quality_NN ,_, and_CC in_IN the_DT end_NN ,_, one_CD Time_NNP executive_NN who_WP asked_VBD not_RB to_TO be_VB identified_VBN said_VBD ,_, ``_`` Frankly_RB ,_, McCall_NNP 's_POS and_CC the_DT joint_JJ venture_NN were_VBD an_DT embarrassment_NN ._. ''_''
59. Mr._NNP Lang_NNP feels_VBZ that_IN|DT Time_NNP 's_POS priorities_NNS changed_VBD ._.
60. ``_`` Their_PRP$ management_NN changed_VBD right_RB after_IN {_( the_DT venture_NN was_VBD formed_VBN }_) ,_, and_CC I_PRP do_VBP n't_RB think_VB they_PRP were_VBD comfortable_JJ getting_VBG into_IN the_DT competitive_JJ wars_NNS of_IN women_NNS 's_POS service_NN magazines_NNS ._. ''_''
61. Today_NN ,_, Mr._NNP Lang_NNP believes_VBZ his_PRP$ magazines_NNS will_MD offer_VB what_WP many_JJ women_NNS 's_POS magazines_NNS do_VBP n't_RB ._.
62. ``_`` We_PRP write_VBP straight_RB for_IN women_NNS on_IN their_PRP$ level_NN ,_, ''_'' he_PRP said_VBD ._.
63. ``_`` We_PRP do_VBP n't_RB have_VB passive_JJ readers_NNS ._. ''_''
64. Mr._NNP Lang_NNP points_VBZ out_RP that_IN even_RB Success_NNP ,_, in_IN part_NN ,_, fits_VBZ the_DT company_NN 's_POS image_NN ,_, since_IN about_RB 30_CD %_NN of_IN its_PRP$ readership_NN is_VBZ female_JJ ._.
65. Mr._NNP Lang_NNP has_VBZ named_VBN Carol_NNP Taber_NNP ,_, 43_CD ,_, as_IN group_NN publisher_NN of_IN New_NNP York-based_JJ Lang_NNP Communications_NNPS|NNP ._.
66. She_PRP will_MD oversee_VB Working_NNP Woman_NNP ,_, Working_NNP Mother_NNP and_CC Success_NNP magazines_NNS ,_, and_CC retain_VB her_PRP$|PRP post_NN as_IN publisher_NN of_IN Working_NNP Woman_NNP ._.
67. The_DT sale_NN price_NN of_IN McCall_NNP 's_POS --_: twice_RB what_WP Mr._NNP Lang_NNP originally_RB paid_VBD for_IN it_PRP --_: will_MD finance_VB Lang_NNP Communications_NNPS|NNP '_POS buy-back_NN of_IN Time_NNP Warner_NNP 's_POS 50_CD %_NN interest_NN in_IN Working_NNP Woman_NNP and_CC Working_NNP Mother_NNP ._.
68. Mr._NNP Lang_NNP says_VBZ he_PRP is_VBZ n't_RB scouting_VBG new_JJ acquisitions_NNS ,_, at_IN least_JJS for_IN now_RB ._.
69. ``_`` We_PRP would_MD have_VB to_TO go_VB outside_RB to_TO banks_NNS to_TO get_VB the_DT money_NN and_CC I_PRP am_VBP not_RB ready_JJ to_TO do_VB that_DT ,_, ''_'' he_PRP said_VBD ._.
70. ``_`` Besides_IN|RB ,_, we_PRP have_VBP enough_RB|NN on_IN our_PRP$ plate_NN ._.
71. There_EX is_VBZ plenty_NN of_IN work_NN to_TO be_VB done_VBN on_IN what_WP we_PRP have_VBP ._.
72. Britain_NNP 's_POS Monopolies_NNPS|NNP and_CC Mergers_NNP Commission_NNP Wednesday_NNP cleared_VBD Rhone-Poulenc_NNP S.A._NNP 's_POS purchase_NN of_IN a_DT specialty_NN bulk-chemical_NN unit_NN from_IN Monsanto_NNP Co._NNP ,_, saying_VBG the_DT purchase_NN was_VBD unlikely_JJ to_TO have_VB any_DT lasting_VBG|JJ impact_NN on_IN U.K._NNP industrial_JJ consumers_NNS ._.
73. The_DT commission_NN ,_, which_WDT was_VBD asked_VBN to_TO study_VB the_DT deal_NN by_IN the_DT Department_NNP of_IN Trade_NNP and_CC Industry_NNP after_IN its_PRP$ announcement_NN in_IN February_NNP ,_, said_VBD the_DT diversity_NN of_IN global_JJ supply_NN of_IN chemicals_NNS used_VBN in_IN making_VBG analgesic_JJ drugs_NNS was_VBD great_JJ enough_RB to_TO offset_VB the_DT dominant_JJ U.K._NNP market_NN share_NN Rhone-Poulenc_NNP would_MD gain_VB through_IN the_DT acquisition_NN ._.
74. The_DT French_JJ|NNP chemical_NN giant_NN would_MD hold_VB an_DT 80_CD %_NN share_NN of_IN the_DT U.K._NNP market_NN for_IN salicylic_JJ acid_NN ,_, methyl_NN salicylate_NN and_CC bulk_NN|JJ aspirin_NN ._.
75. The_DT commission_NN found_VBD that_IN if_IN the_DT British_JJ government_NN attempted_VBD to_TO block_VB the_DT merger_NN ,_, Rhone-Poulenc_NNP would_MD likely_RB respond_VB by_IN closing_VBG the_DT salicylates_NNS plant_NN Monsanto_NNP operates_NNS|VBZ in_IN Wales_NNP ,_, removing_VBG the_DT matter_NN from_IN U.K._NNP jurisdiction_NN ._.
76. Morrison_NNP Knudsen_NNP Corp._NNP posted_VBD third-quarter_JJ net_JJ income_NN of_IN $_$ 7.9_CD million_CD ,_, or_CC 69_CD cents_NNS a_DT share_NN ,_, continuing_VBG a_DT rebound_NN from_IN steep_JJ year-ago_JJ losses_NNS ._.
77. In_IN the_DT third_JJ quarter_NN a_DT year-earlier_JJ|NN ,_, the_DT construction_NN and_CC engineering_NN concern_NN posted_VBD a_DT loss_NN of_IN $_$ 51.2_CD million_CD ,_, or_CC $_$ 4.68_CD a_DT share_NN ._.
78. Revenue_NN in_IN the_DT latest_JJS quarter_NN rose_VBD 14_CD %_NN to_TO $_$ 589_CD million_CD from_IN $_$ 515.1_CD million_CD ._.
79. In_IN composite_JJ trading_NN on_IN the_DT New_NNP York_NNP Stock_NNP Exchange_NNP ,_, Morrison_NNP gained_VBD $_$ 2.25_CD to_TO $_$ 44.125_CD ._.
80. Morrison_NNP said_VBD the_DT engineering_NN and_CC construction_NN segment_NN performed_VBD well_RB ,_, with_IN the_DT mining_NN and_CC MK-Ferguson_JJ|NNP operations_NNS making_VBG important_JJ contributions_NNS ._.
81. Boise_NNP ,_, Idaho-based_JJ Morrison_NNP had_VBD losses_NNS totaling_VBG $_$ 186_CD million_CD over_IN the_DT two_CD years_NNS ended_VBN in_IN December_NNP ,_, but_CC it_PRP has_VBZ surged_VBN back_RB to_TO profitability_NN as_IN a_DT result_NN of_IN cost-cutting_NN and_CC shedding_NN of_IN unprofitable_JJ operations_NNS ._.
82. In_IN the_DT nine_CD months_NNS ,_, the_DT company_NN 's_POS net_JJ income_NN was_VBD $_$ 21.5_CD million_CD ,_, or_CC $_$ 1.88_CD a_DT share_NN ,_, compared_VBN with_IN a_DT year-earlier_JJ loss_NN of_IN $_$ 97.8_CD million_CD ,_, or_CC $_$ 8.96_CD a_DT share_NN ._.
83. Revenue_NN rose_VBD 17_CD %_NN to_TO $_$ 1.62_CD billion_CD from_IN $_$ 1.39_CD billion_CD ._.
84. The_DT House_NNP Ethics_NNP Committee_NNP officially_RB cited_VBD Rep._NNP Jim_NNP Bates_NNP (_( D._NNP ,_, Calif_NNP ._. )_) for_IN sexually_RB harassing_VBG two_CD female_JJ employees_NNS ,_, but_CC did_VBD n't_RB recommend_VB formal_JJ disciplinary_JJ action_NN ._.
85. Rep._NNP Bates_NNP said_VBD he_PRP accepted_VBD the_DT finding_NN ,_, but_CC one_CD of_IN the_DT victims_NNS ,_, Dorena_NNP Bertussi_NNP ,_, denounced_VBD the_DT ethics_NNS panel_NN 's_POS action_NN as_IN ``_`` absurd_JJ ._. ''_''
86. Acting_VBG more_JJR|RBR than_IN a_DT year_NN after_IN Ms._NNP Bertussi_NNP filed_VBD a_DT complaint_NN ,_, the_DT panel_NN issued_VBD a_DT ``_`` letter_NN of_IN reproval_NN ''_'' saying_VBG Rep._NNP Bates_NNP had_VBD admitted_VBN conduct_NN that_WDT violated_VBD a_DT House_NNP rule_NN forbidding_VBG discrimination_NN against_IN employees_NNS on_IN account_NN of_IN their_PRP$ sex_NN ._.
87. It_PRP ordered_VBD Rep._NNP Bates_NNP to_TO write_VB letters_NNS of_IN apology_NN to_TO Ms._NNP Bertussi_NNP and_CC to_TO a_DT second_JJ complainant_NN ,_, Karen_NNP Dryden_NNP ._.
88. Rep._NNP Bates_NNP said_VBD he_PRP would_MD write_VB the_DT letters_NNS as_IN ordered_VBN ._.
89. ``_`` I_PRP accept_VBP the_DT resolution_NN of_IN the_DT matter_NN by_IN the_DT Ethics_NNPS|NNP Committee_NNP ,_, ''_'' he_PRP said_VBD ._.
90. The_DT panel_NN also_RB warned_VBD Rep._NNP Bates_NNP that_IN any_DT further_JJ violations_NNS ``_`` may_MD result_VB in_IN a_DT recommendation_NN that_IN disciplinary_JJ action_NN be_VB considered_VBN ._. ''_''
91. But_CC Ms._NNP Bertussi_NNP asked_VBD ,_, ``_`` Who_WP in_IN their_PRP$ right_JJ mind_NN is_VBZ going_VBG to_TO file_VB another_DT complaint_NN with_IN the_DT Ethics_NNPS|NNP Committee_NNP ?_. ''_''
92. Rep._NNP Bates_NNP has_VBZ publicly_RB begged_VBN for_IN forgiveness_NN from_IN voters_NNS and_CC was_VBD re-elected_VBN with_IN 60_CD %_NN of_IN the_DT vote_NN last_JJ November_NNP ._.
93. Mesa_NNP Airlines_NNPS|NNP said_VBD the_DT takeover_NN offer_NN it_PRP received_VBD earlier_RBR this_DT week_NN from_IN StatesWest_NNP Airlines_NNPS|NNP is_VBZ for_IN a_DT combination_NN of_IN cash_NN and_CC securities_NNS valued_VBN by_IN StatesWest_NNP at_IN $_$ 10_CD a_DT Mesa_NNP share_NN ._.
94. Both_DT companies_NNS are_VBP regional_JJ carriers_NNS in_IN the_DT Southwest_NNP ._.
95. When_WRB it_PRP made_VBD the_DT offer_NN ,_, StatesWest_NNP declined_VBD to_TO disclose_VB details_NNS and_CC asked_VBD Mesa_NNP to_TO do_VB the_DT same_JJ ._.
96. But_CC Farmington_NNP ,_, N.M.-based_JJ Mesa_NNP said_VBD the_DT offer_NN was_VBD for_IN $_$ 7_CD in_IN cash_NN and_CC unspecified_JJ StatesWest_NNP securities_NNS valued_VBN at_IN $_$ 3_CD a_DT share_NN ._.
97. Based_VBN on_IN the_DT number_NN of_IN Mesa_NNP shares_NNS outstanding_JJ not_RB already_RB owned_VBN by_IN StatesWest_NNP ,_, the_DT proposed_VBN|JJ takeover_NN would_MD have_VB a_DT value_NN of_IN about_IN|RB $_$ 15.3_CD million_CD ._.
98. StatesWest_NNP owns_VBZ 7.25_CD %_NN of_IN Mesa_NNP ._.
99. Last_JJ week_NN ,_, Mesa_NNP rejected_VBD a_DT general_JJ proposal_NN from_IN StatesWest_NNP|JJS that_IN the_DT two_CD carriers_NNS combine_VBP|VB ._.
100. In_IN response_NN to_TO the_DT specific_JJ offer_NN ,_, Gary_NNP Risley_NNP ,_, Mesa_NNP vice_NN president_NN ,_, said_VBD management_NN will_MD ask_VB directors_NNS to_TO employ_VB a_DT financial_JJ consultant_NN to_TO advise_VB them_PRP ._.

